,Kabupaten/Kota,Tahun,Total sampah (ton/hari)
0,KABUPATEN BOGOR,2015,1511.15
1,KABUPATEN SUKABUMI,2015,419.01
2,KABUPATEN CIANJUR,2015,981.41
3,KABUPATEN BANDUNG,2015,1895.94
4,KABUPATEN GARUT,2015,464.74
5,KABUPATEN TASIKMALAYA,2015,464.52
6,KABUPATEN CIAMIS,2015,260.91
7,KABUPATEN KUNINGAN,2015,251.7
8,KABUPATEN CIREBON,2015,465.75
9,KABUPATEN MAJALENGKA,2015,254.63
10,KABUPATEN SUMEDANG,2015,237.96
11,KABUPATEN INDRAMAYU,2015,613.18
12,KABUPATEN SUBANG,2015,487.26
13,KABUPATEN PURWAKARTA,2015,308.96
14,KABUPATEN KARAWANG,2015,869.86
15,KABUPATEN BEKASI,2015,1228.6
16,KABUPATEN BANDUNG BARAT,2015,616.08
17,KABUPATEN PANGANDARAN,2015,185.83
18,KOTA BOGOR,2015,991.93
19,KOTA SUKABUMI,2015,309.91
20,KOTA BANDUNG,2015,2448.63
21,KOTA CIREBON,2015,304.15
22,KOTA BEKASI,2015,2387.08
23,KOTA DEPOK,2015,1844.3
24,KOTA CIMAHI,2015,563.21
25,KOTA TASIKMALAYA,2015,472.36
26,KOTA BANJAR,2015,130.21
27,KABUPATEN BOGOR,2016,1511.15
28,KABUPATEN SUKABUMI,2016,419.01
29,KABUPATEN CIANJUR,2016,981.41
30,KABUPATEN BANDUNG,2016,1895.94
31,KABUPATEN GARUT,2016,464.74
32,KABUPATEN TASIKMALAYA,2016,464.52
33,KABUPATEN CIAMIS,2016,260.91
34,KABUPATEN KUNINGAN,2016,251.7
35,KABUPATEN CIREBON,2016,465.75
36,KABUPATEN MAJALENGKA,2016,254.63
37,KABUPATEN SUMEDANG,2016,237.96
38,KABUPATEN INDRAMAYU,2016,613.18
39,KABUPATEN SUBANG,2016,487.26
40,KABUPATEN PURWAKARTA,2016,308.96
41,KABUPATEN KARAWANG,2016,869.86
42,KABUPATEN BEKASI,2016,1228.6
43,KABUPATEN BANDUNG BARAT,2016,616.08
44,KABUPATEN PANGANDARAN,2016,185.83
45,KOTA BOGOR,2016,991.93
46,KOTA SUKABUMI,2016,309.91
47,KOTA BANDUNG,2016,2448.63
48,KOTA CIREBON,2016,304.15
49,KOTA BEKASI,2016,2387.08
50,KOTA DEPOK,2016,1844.3
51,KOTA CIMAHI,2016,563.21
52,KOTA TASIKMALAYA,2016,472.36
53,KOTA BANJAR,2016,130.21
54,KABUPATEN BOGOR,2017,1511.15
55,KABUPATEN SUKABUMI,2017,419.01
56,KABUPATEN CIANJUR,2017,981.41
57,KABUPATEN BANDUNG,2017,1895.94
58,KABUPATEN GARUT,2017,464.74
59,KABUPATEN TASIKMALAYA,2017,464.52
60,KABUPATEN CIAMIS,2017,260.91
61,KABUPATEN KUNINGAN,2017,251.7
62,KABUPATEN CIREBON,2017,465.75
63,KABUPATEN MAJALENGKA,2017,254.63
64,KABUPATEN SUMEDANG,2017,237.96
65,KABUPATEN INDRAMAYU,2017,613.18
66,KABUPATEN SUBANG,2017,487.26
67,KABUPATEN PURWAKARTA,2017,308.96
68,KABUPATEN KARAWANG,2017,869.86
69,KABUPATEN BEKASI,2017,1228.6
70,KABUPATEN BANDUNG BARAT,2017,616.08
71,KABUPATEN PANGANDARAN,2017,185.83
72,KOTA BOGOR,2017,991.93
73,KOTA SUKABUMI,2017,309.91
74,KOTA BANDUNG,2017,2448.63
75,KOTA CIREBON,2017,304.15
76,KOTA BEKASI,2017,2387.08
77,KOTA DEPOK,2017,1844.3
78,KOTA CIMAHI,2017,563.21
79,KOTA TASIKMALAYA,2017,472.36
80,KOTA BANJAR,2017,130.21
81,KABUPATEN BOGOR,2018,1716.8
82,KABUPATEN SUKABUMI,2018,415.5
83,KABUPATEN CIANJUR,2018,965.19
84,KABUPATEN BANDUNG,2018,2068.06
85,KABUPATEN GARUT,2018,473.89
86,KABUPATEN TASIKMALAYA,2018,458.45
87,KABUPATEN CIAMIS,2018,263.01
88,KABUPATEN KUNINGAN,2018,248.52
89,KABUPATEN CIREBON,2018,466.25
90,KABUPATEN MAJALENGKA,2018,249.26
91,KABUPATEN SUMEDANG,2018,236.12
92,KABUPATEN INDRAMAYU,2018,603.11
93,KABUPATEN SUBANG,2018,498.7
94,KABUPATEN PURWAKARTA,2018,323.87
95,KABUPATEN KARAWANG,2018,896.85
96,KABUPATEN BEKASI,2018,1600.71
97,KABUPATEN BANDUNG BARAT,2018,663.54
98,KABUPATEN PANGANDARAN,2018,171.21
99,KOTA BOGOR,2018,1069.41
100,KOTA SUKABUMI,2018,318.12
101,KOTA BANDUNG,2018,2441.12
102,KOTA CIREBON,2018,308.37
103,KOTA BEKASI,2018,2858.6
104,KOTA DEPOK,2018,2272.07
105,KOTA CIMAHI,2018,592.62
106,KOTA TASIKMALAYA,2018,465.23
107,KOTA BANJAR,2018,128.34
108,KABUPATEN BOGOR,2019,2914.65
109,KABUPATEN SUKABUMI,2019,1003.64
110,KABUPATEN CIANJUR,2019,1115.81
111,KABUPATEN BANDUNG,2019,1334.12
112,KABUPATEN GARUT,2019,1144.01
113,KABUPATEN TASIKMALAYA,2019,753.06
114,KABUPATEN CIAMIS,2019,560.57
115,KABUPATEN KUNINGAN,2019,537.25
116,KABUPATEN CIREBON,2019,3.15
117,KABUPATEN MAJALENGKA,2019,515.7
118,KABUPATEN SUMEDANG,2019,436.96
119,KABUPATEN INDRAMAYU,2019,1071.05
120,KABUPATEN SUBANG,2019,1012.45
121,KABUPATEN PURWAKARTA,2019,384.43
122,KABUPATEN KARAWANG,2019,934.4
123,KABUPATEN BEKASI,2019,2590.0
124,KABUPATEN BANDUNG BARAT,2019,1124.5
125,KABUPATEN PANGANDARAN,2019,250.23
126,KOTA BOGOR,2019,620.55
127,KOTA SUKABUMI,2019,172.82
128,KOTA BANDUNG,2019,1575.73
129,KOTA CIREBON,2019,245.0
130,KOTA BEKASI,2019,2060.7
131,KOTA DEPOK,2019,1469.77
132,KOTA CIMAHI,2019,267.74
133,KOTA TASIKMALAYA,2019,291.6
134,KOTA BANJAR,2019,100.67
135,KABUPATEN BOGOR,2020,2977.0
136,KABUPATEN SUKABUMI,2020,1006.0
137,KABUPATEN CIANJUR,2020,1117.0
138,KABUPATEN BANDUNG,2020,1355.0
139,KABUPATEN GARUT,2020,1151.0
140,KABUPATEN TASIKMALAYA,2020,754.0
141,KABUPATEN CIAMIS,2020,564.0
142,KABUPATEN KUNINGAN,2020,540.0
143,KABUPATEN CIREBON,2020,1096.0
144,KABUPATEN MAJALENGKA,2020,518.0
145,KABUPATEN SUMEDANG,2020,438.0
146,KABUPATEN INDRAMAYU,2020,1077.0
147,KABUPATEN SUBANG,2020,1023.0
148,KABUPATEN PURWAKARTA,2020,388.0
149,KABUPATEN KARAWANG,2020,942.0
150,KABUPATEN BEKASI,2020,2258.0
151,KABUPATEN BANDUNG BARAT,2020,1135.0
152,KABUPATEN PANGANDARAN,2020,252.0
153,KOTA BOGOR,2020,567.0
154,KOTA SUKABUMI,2020,181.0
155,KOTA BANDUNG,2020,1630.0
156,KOTA CIREBON,2020,192.0
157,KOTA BEKASI,2020,1923.0
158,KOTA DEPOK,2020,1516.0
159,KOTA CIMAHI,2020,369.0
160,KOTA TASIKMALAYA,2020,285.0
161,KOTA BANJAR,2020,79.0
162,KABUPATEN BOGOR,2021,971.59
163,KABUPATEN SUKABUMI,2021,356.02
164,KABUPATEN CIANJUR,2021,355.69
165,KABUPATEN BANDUNG,2021,1489.04
166,KABUPATEN GARUT,2021,321.17
167,KABUPATEN TASIKMALAYA,2021,172.26
168,KABUPATEN CIAMIS,2021,159.41
169,KABUPATEN KUNINGAN,2021,405.76
170,KABUPATEN CIREBON,2021,242.52
171,KABUPATEN MAJALENGKA,2021,546.54
172,KABUPATEN SUMEDANG,2021,707.75
173,KABUPATEN INDRAMAYU,2021,792.48
174,KABUPATEN SUBANG,2021,739.6
175,KABUPATEN PURWAKARTA,2021,239.72
176,KABUPATEN KARAWANG,2021,614.61
177,KABUPATEN BEKASI,2021,1193.76
178,KABUPATEN BANDUNG BARAT,2021,201.09
179,KABUPATEN PANGANDARAN,2021,46.62
180,KOTA BOGOR,2021,719.72
181,KOTA SUKABUMI,2021,232.06
182,KOTA BANDUNG,2021,1529.04
183,KOTA CIREBON,2021,229.75
184,KOTA BEKASI,2021,1500.77
185,KOTA DEPOK,2021,1418.87
186,KOTA CIMAHI,2021,193.36
187,KOTA TASIKMALAYA,2021,295.87
188,KOTA BANJAR,2021,60.29
